id,avatar,first_name,last_name,age,nationality_code,hobbies
"f14b50c1-5d2a-4cc7-b656-124bef04fc6c","https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/27.jpg","Sanford","Schaefer","72","it","Skiing|Knitting|Birdwatching|Pottery|Photography|Astronomy|Chess|Camping"
"33980312-f933-415c-880c-ad57eed67745","https://avatars.githubusercontent.com/u/68428466","Sara","Mahoney","118","sg","Knitting|Chess|Dancing|Baking|Fishing|Running|Pottery|Hiking"
"51981887-abb2-4d51-a884-460fefd06bbd","https://avatars.githubusercontent.com/u/74641957","Steve","Johanns","91","ca","Calligraphy|Yoga|Woodworking|Astronomy|Birdwatching|Baking|Pottery|Painting|Gardening"
"143fd192-4eaf-4b5c-b240-69e360be634f","https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/28.jpg","Montague","Morhardt","76","fr","Piano"
"dc1cb706-2080-4303-b823-a0e05953b475","https://avatars.githubusercontent.com/u/3265201","Modena","Schuman","12","no","Guitar|Fishing"
"7d581120-69ea-40f2-9079-ff5f059b43c1","https://avatars.githubusercontent.com/u/28202928","Stanley","Smathurst","34","eg","Calligraphy"
"db8508ea-4b56-4c92-a5c6-d934f20f78af","https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/66.jpg","Joellen","Munsch","51","nz","Camping|Yoga"
"33576423-418c-4674-b6fb-4b207f1f97f4","https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/29.jpg","Jennifer","Schall","97","bd","Origami|Camping"
"247690e8-567d-40f0-b587-c967dbb9e5c3","https://avatars.githubusercontent.com/u/58698567","Savanna","Smelcer","78","kr","Calligraphy|Singing"
"3f61bd67-47db-41b7-ae3f-e4cc8cefe7a2","https://avatars.githubusercontent.com/u/94750989","Stella","Mutchler","38","pk","Baking|Cycling|Reading|Birdwatching|Camping"
"5eb4127f-1ba5-4c83-be64-0aabed191b62","https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/19.jpg","Dorothy","Jackson","38","ua","Yoga|Skiing|Surfing|Traveling|Baking|Chess|Cycling|Camping|Painting|Photography"
"926010a2-b5b6-42ff-b584-a16de220177a","https://avatars.githubusercontent.com/u/68674249","Sander","Matheson","100","es",""
"2cdac4f9-db31-482f-9389-c5f077330e32","https://avatars.githubusercontent.com/u/56008493","Stephen","Morin","120","pt","Gardening|Traveling|Gaming|Woodworking|Chess|Painting|Hiking|Camping|Swimming"
"834be38a-443e-4d5a-b38a-8521efbc115a","https://avatars.githubusercontent.com/u/48354240","Joelson","Smock","25","jp","Camping|Running|Writing|Origami|Piano"
"5fcfbc9d-72f7-482a-bd57-6f42dcff306e","https://avatars.githubusercontent.com/u/26530763","Jonah","Mileham","110","gb","Knitting|Birdwatching"
"e54438b7-8003-4a44-8850-98bfa44bc540","https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/80.jpg","Savage","Clark","92","gr","Yoga|Woodworking|Knitting|Singing|Astronomy"
"03a12be7-5473-49b4-a489-cc9ba9be581c","https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/21.jpg","Montague","Schunk","1","pe","Traveling|Piano|Dancing|Reading|Calligraphy|Running|Singing|Photography|Gardening|Painting"
"ee5f2fb3-709e-4b82-b4f2-f16ce226b9ac","https://avatars.githubusercontent.com/u/66821199","Saundra","King","100","ru","Running|Gardening|Yoga|Gaming|Baking|Painting"
"2d3808c2-9bb5-4698-9da3-fabf9bea9361","https://avatars.githubusercontent.com/u/39289317","Stephania","Mahone","92","jp","Running|Writing|Hiking|Painting|Traveling"
"13b1ca4b-0cc7-470d-84b8-ca54e267c44f","https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/81.jpg","Stephon","Smolinski","39","th","Piano|Hiking|Gardening|Baking|Astronomy|Camping|Knitting"
